"Duplo, Quatro, Primo",Color,Quantity
4173817,1,
4173816,1,
4173946,1,
4173945,1,
4173814,1,
4908pr0001,1,
62675,1,
2150c02,1,
2150c01,1,
52919pr0001,1,
52922,1,
53491pr0001,1,
18721,1,
62681,1,
62681pr0001,1,
2159c05,1,
2159c03,1,
2159c02,1,
84189pr0001,1,
81436pr0002,1,
12937pr0002,1,
75016c01pr0003,1,
64150pr0001,1,
64150pr0002,1,
64150pr0003,1,
49989pr0001,1,
27370pr0019,1,
27370pr0018,1,
27370pr0017,1,
44207c01,1,
44212pr0001,1,
44198c03,1,
44198c02,1,
44198c01,1,
17865pr0003,1,
87313pr0001,1,
84618pr0001,1,
31102pr0001,1,
4810pr0001,1,
12057,1,
88379pr0001,1,
75720pr0002,1,
4010pr0002,1,
18808pr0001,1,
58057pr0001,1,
58057pr0002,1,
4946,1,
65161pr0001,1,
2299c03pr0001,1,
31159pr0002,1,
19084,1,
31445,1,
64402pr0001,1,
2278pr0002,1,
11369pr0003,1,
dupupn0049c05,1,
3146c01,1,
75725pr0002,1,
75725pr0005,1,
1376pr0007,1,
75723pr0004,1,
36969pr0004,1,
57889pr0002,1,
75723pr0002,1,
36969pr0012,1,
4009pr0001,1,
73409pr0001,1,
31222,1,
54528pr0005,1,
dupupn0028c03pr0001,1,
2275c01pr0001,1,
54528pr0001,1,
54528pr0006,1,
60364bpr0009,1,
60364apr0003,1,
6434,1,
2334c01pr0001,1,
74764pr0001,1,
75722,1,
70679pr0001,1,
70679pr0002,1,
92328pr0001,1,
4011pr0002,1,
20046pr0001,1,
84713pr0001,1,
84713pr0002,1,
84713pr0003,1,
37151pr0002,1,
69719pr0001,1,
87651pr0001,1,
dupupn0016pr0001,1,
81443pr0001,1,
31226pr0001,1,
18115pr0001,1,
54528pr0004,1,
11929,1,
84190pr0001,1,
4415c01pr0001,1,
6436,1,
54031pr0001,1,
51727pr0003,1,
40874,1,
52066pr0001,1,
dupupn0124,1,
101600,1,
40709,1,
31193,1,
31193pr0001,1,
31193pr0002,1,
31191,1,
31074,1,
6475,1,
44536,1,
44513,1,
44823,1,
72538,1,
44525,1,
65113,1,
4895,1,
44683,1,
75556c,1,
75556b,1,
dupupn0156,1,
29988pr0003,1,
29988pr0002,1,
75556d,1,
75556a,1,
75556e,1,
49767,1,
54071pr0001,1,
54856,1,
55984,1,
54859,1,
54058,1,
31078c01,1,
54067,1,
101596pr0002,1,
101596pr0001,1,
4066,1,
18783,1,
4066pr9984,1,
4066pr0052,1,
4066pr0107,1,
4066pr0028,1,
4066pr0033,1,
76371,1,
76371pr0185,1,
76371pr9999,1,
76371pr0180,1,
76371pr0103,1,
76371pr0193,1,
76371pr0210,1,
76371pr0209,1,
76371pr9993,1,
76371pr0201,1,
76371pr9996,1,
76371pr9997,1,
76371pr0197,1,
76371pr0200,1,
76371pr0204,1,
4066pr0088,1,
4066pr0027,1,
4066pr0149,1,
4066pr0032,1,
4066pr9992,1,
4066pr0020,1,
4066pr0048,1,
4066pr0267,1,
4066pr0096,1,
4066pr0240,1,
4066pr0271,1,
4066pr0054,1,
4066pr9991,1,
4066pr0079,1,
4066pr0085,1,
4066pr0043,1,
4066pr9988,1,
4066pr0268,1,
4066pr0234,1,
4066pr0182,1,
4066pr0166,1,
4066pr0177,1,
4066pr9983,1,
76371pr9988,1,
4066pr0110,1,
4066pr0070,1,
4066pr0061,1,
4066pr0134,1,
4066pr0063,1,
4066pr9989,1,
4066pr0037,1,
4066pr0203,1,
4066pr0062,1,
4066pr0131,1,
4066pr0076,1,
4066pr0022,1,
4066pr0116,1,
4066pr9975,1,
4066pr9976,1,
4066pr0087,1,
4066pr0109,1,
