Non-Buildable Figures,Color,Quantity
belfig0107pr0004,1,
belfig0107pr0001,1,
belfig0107pr0002,1,
belfig0107pr0003,1,
belfig0003c04pr0019,1,
belfig0003c04pr0016,1,
belfig0003c04pr0020,1,
belfig0003c04pr0018,1,
belfig0003c04pr0022,1,
belfig0003c04pr0021,1,
belfig0003c04pr0003,1,
belfig0003c04pr0015,1,
belfig0003c04pr0014,1,
belfig0003c04pr0008,1,
belfig0003c04pr0010,1,
belfig0003c04pr0009,1,
belfig0003c04pr0005,1,
belfig0003c04pr0007,1,
belfig0003c04pr0001,1,
belfig0003c04pr0002,1,
belfig0003c04pr0013,1,
belfig0003c04pr0006,1,
belfig0003c02pr0003,1,
belfig0003c02pr0005,1,
belfig0003c02pr0004,1,
belfig0003c02pr0002,1,
belfig0003c02pr0001,1,
belfig0003c02pr0006,1,
belfig0003c03pr0011,1,
belfig0003c03pr0010,1,
belfig0003c03pr0015,1,
belfig0003c03pr0014,1,
belfig0003c03pr0013,1,
belfig0003c03pr0016,1,
belfig0003c03pr0005,1,
belfig0003c03pr0007,1,
belfig0003c03pr0003,1,
belfig0003c03pr0008,1,
belfig0003c03pr0006,1,
belfig0003c03pr0004,1,
belfig0003c03pr0001,1,
belfig0003c03pr0002,1,
belfig0003c03pr0018,1,
belfig0003c03pr0009,1,
belfig0003c01pr0005,1,
belfig0003c01pr0002,1,
belfig0003c01pr0004,1,
belfig0003c01pr0008,1,
belfig0003c01pr0006,1,
belfig0003c01pr0007,1,
belfig0003c01pr0001,1,
belfig0003c01pr0003,1,
belfig0003c01pr0009,1,
belfig0001pr0001,1,
belfig0001pr0003,1,
belfig0001pr0002,1,
belfig0001pr0004,1,
belfig0001pr0007,1,
belfig0001pr0006,1,
belfig0001pr0005,1,
belfig0050,1,
belfig0033,1,
belfig0089,1,
belfig0036,1,
belfig0056,1,
belfig0060,1,
belfig0062,1,
belfig0073,1,
belfig0035,1,
belfig0051,1,
belfig0038,1,
belfig0039,1,
belfig0018,1,
belfig0011,1,
belfig0002c03pr0005,1,
belfig0002c03pr0009,1,
belfig0002c03pr0007,1,
belfig0002c03pr0003,1,
belfig0002c03pr0002,1,
belfig0002c03pr0011,1,
belfig0002c03pr0004,1,
belfig0002c03pr0001,1,
belfig0002c03pr0010,1,
belfig0002c03pr0008,1,
belfig0002c03pr0013,1,
belfig0002c02pr0006,1,
belfig0002c02pr0005,1,
belfig0002c02pr0003,1,
belfig0002c02pr0002,1,
belfig0002c02pr0004,1,
belfig0002c02pr0001,1,
belfig0002c01pr0002,1,
belfig0002c01pr0003,1,
belfig0002c01pr0005,1,
belfig0002c01pr0004,1,
